𨽁: zōu cóng
𨽂: pú
𨽄: shì
𨽉: shǔ
𨽊: chán
𨽍: dú
𨽏: guō
𨽐: lù yáng
𨽑: yān
𨽖: niǎo
𨽗: bīn pín
𨽟: tuí
𨽦: nì
𨽧: huān
𨽨: qián
𨽯: xià
𨽲: líng
𨽷: lián
𨽹: yì lì
𨽻: lì
𨽼: sì
𨽿: dài
𨾂: wèi
𨾅: cì
𨾉: jiǔ
𨾊: hóng
𨾌: yú
𨾎: kuí
𨾒: háng
𨾓: gē yì
𨾔: fàng
𨾗: kuí xié
𨾚: guī fū
𨾛: chǐ qí
𨾞: jiǔ
𨾡: suī huǎng
𨾤: dié
𨾬: suǐ
𨾰: qín
𨾴: guī
𨾻: zhuī
𨾾: tiào
𨿁: yuè
𨿇: zuǐ
𨿏: wú
𨿐: cuǐ
𨿛: zhì xī
𨿠: shuì
𨿢: dōng
𨿭: wéi
𨿿: chǒng
𩀋: rún
𩀖: jí
𩀜: diāo
𩀞: cāng
𩀠: kòu gǔ
𩀣: wéi
𩀧: cán
𩀪: má
𩀫: òu
𩀲: sǎn
𩀶: wéi huī mí
𩀼: sǎn
𩀿: jīn
𩁌: wéi
𩁞: cài
𩁟: lí
𩁯: yuè
𩁴: yūn
𩁷: chēng
𩁺: shān
𩂂: hū
𩂃: shài
𩂄: tún
𩂆: fǒu fù
𩂈: qìn
𩂉: xū chēn
𩂍: chuān
𩂎: fù
𩂒: yì ài
𩂓: dōng
𩂔: fú
𩂕: fú
𩂖: zé
𩂗: pù
𩂙: líng
𩂝: shài yīng
𩂞: pào
𩂢: yín ái
𩂣: luò
𩂤: huà
𩂥: yìn
𩂦: bèng
𩂧: yū
𩂨: shè
𩂪: xiè
𩂫: chǔ
𩂴: shè
𩂵: diàn
𩂹: yì
𩂻: chè
𩂼: gěng
𩂽: lóng
𩂾: píng
𩂿: yǔn
𩃀: yàn
𩃁: mò
𩃃: suī
𩃋: jìng
𩃍: sòng
𩃎: páng
𩃐: yá
𩃑: sè
𩃒: duǒ
𩃕: chuáng
𩃖: xiè
𩃘: tuán
𩃙: gōng
𩃚: xuàn
𩃜: lā
𩃞: líng
𩃠: dài
𩃡: zhá
𩃬: yīn
𩃭: sōng
𩃯: yǔ
𩃰: tuó
𩃱: tuó
𩃴: bà
𩃵: rǎn
𩃶: bó
𩃷: dài
𩃹: zhá zhǎ
𩃺: hóu
𩃾: huǐ
𩄅: lú
𩄊: lìng
𩄋: rú
𩄕: dàn
𩄖: méng
𩄗: xià
𩄘: wěng
𩄙: hán
𩄚: zī
𩄛: zhèn
𩄜: sè
𩄝: cuó
𩄞: lì
𩄠: diān
𩄡: lián
𩄢: gòu
𩄦: péng
𩄪: yīng
𩄬: hòu
𩄮: duì
𩄯: wù
𩄷: piào
𩄸: hè
𩄺: lóng
𩄻: mò
𩄼: fěi
𩄽: lǚ
𩄾: zé
𩄿: bó
𩅀: diàn zhí
𩅁: mǎng
𩅃: zhuàng chóng
𩅄: lù
𩅅: pāng
𩅆: duì
𩅇: bù
𩅌: chēn
𩅍: màn
𩅖: xī
𩅝: ǎn
𩅞: zhōng chòng
𩅠: nàn
𩅡: tuò
𩅢: hé
𩅥: duì
𩅦: wān dān
𩅧: zhōng
𩅨: cén shèn
𩅩: lì
𩅪: shuāng
𩅮: cén
𩅰: sī
𩅲: duì
𩅴: hūn
𩅼: jiān jiàn
𩅽: nóng
𩅾: dàn
𩅿: fù
𩆀: huò
𩆁: huì wèi
𩆂: cí
𩆄: yǒng
𩆅: sà
𩆆: tíng
𩆎: liù
𩆑: suān
𩆒: líng
𩆓: mán màn
𩆔: diàn
𩆘: pāo
𩆚: líng
𩆝: lì
𩆟: nóu
𩆣: liè
𩆤: shǎn
𩆦: fèi
𩆫: shǎn
𩆮: líng
𩆯: zhàn jiān
𩆱: bīn
𩆲: lí
𩆵: sī xiàn
𩆶: ráng
𩆷: jiān
𩆸: zhuó
𩆻: líng
𩆼: líng
𩆽: mèng
𩆿: shuāng
𩇄: líng
𩇇: hùn
𩇎: líng
𩇏: jiān
𩇐: qú
𩇔: nóng
𩇕: jìng
𩇖: chēn
𩇜: zhēn chèng chēng
𩇝: qìng
𩇟: qìng
𩇠: è yǎn
𩇣: sè
𩇩: bèi
𩇫: fēi
𩇮: fèi
𩇯: féi
𩇴: fāng
𩇵: kǔ
𩇺: zá
𩇻: huì
𩇽: féi
𩈁: duì
𩈆: pā
𩈇: niǔ
𩈈: pàng
𩈉: dàn
𩈊: dān dàn
𩈋: ài
𩈍: tiǎn
𩈎: chǎo
𩈏: ǎo yǒu
𩈐: mèi
𩈑: nǎn
𩈔: bò
𩈕: yù chì
𩈖: xiān hān
𩈗: mài
𩈚: pīng
𩈜: duī
𩈞: dào
𩈡: xìng
𩈢: nì nǜ
𩈣: hān
𩈤: chù
𩈥: shuǎ
𩈦: mǎn
𩈬: wàn
𩈭: yì
𩈮: diào
𩈯: yān
𩈱: wò
𩈲: suàn
𩈴: ǎn
𩈵: lán
𩈶: nǎn
𩈸: qiǔ
𩈹: miàn
𩈺: nuǒ
𩈻: cán
𩈼: cǎn
𩉀: làn
𩉁: tiǎn
𩉂: yè
𩉄: niǎn
𩉆: shuǎ
𩉋: cí
𩉍: jiǎn
𩉐: gàn
𩉔: jiàn
𩉕: guó
𩉗: zhān
𩉙: luǒ
𩉜: jī hàng
𩉝: guì
𩉡: jiá
𩉢: jǐ
𩉥: xuàn
𩉧: fēng
𩉫: bì
𩉬: qí chí
𩉯: yuán
𩉰: àng
𩉱: dī
